month,month_label,n_days,bias,mae,rmse,correlation
1,Jan,93,1.7477145212098262,1.7477145212098262,2.038540483293508,0.4245851880198749
2,Feb,85,1.33825764404083,1.3811208121962757,1.5611366023132551,-0.26359534615599295
3,Mar,93,0.8340299162472272,0.9882863199070613,1.2139506549043821,-0.17426120425522745
4,Apr,84,0.32354553449901063,0.6277554520400511,0.7899411055070764,0.8290675617442301
5,May,64,-0.16096914807955437,0.2716333568096163,0.3756636204256917,0.9836768733842977
6,Jun,120,-0.24977466204211443,0.3398848394620925,0.4736968186265664,0.9723918354510875
7,Jul,121,-0.36441624212893775,0.45840689382971683,0.5597298683258365,0.9691275636462782
8,Aug,124,-0.40862866277280047,0.4272640946982562,0.5102582051176222,0.9680376772123291
9,Sep,120,-0.3813931344442319,0.40866257054794214,0.4820366178260383,0.9914752690620733
10,Oct,124,0.01808270636759601,0.3494309623757497,0.4296441282340566,0.9870576960437891
11,Nov,120,0.6201946919164375,0.6553567402562812,0.8064586993210906,0.9406284136694557
12,Dec,124,1.6344208922234826,1.6344208922234826,1.8099344837351345,0.7713237322253712
