date,obs_sst,copernicus_sst
2015-12-21,9.966666666666667,
2015-12-22,10.134782608695652,
2015-12-23,10.070833333333333,
2015-12-24,9.85,
2015-12-25,9.775,
2015-12-26,9.570833333333333,
2015-12-27,9.1625,
2015-12-28,9.158333333333333,
2015-12-29,9.579166666666667,
2015-12-30,9.608333333333333,
2015-12-31,9.512500000000001,
2016-01-01,9.808333333333334,
2016-01-02,9.870833333333334,
2016-01-03,9.933333333333334,
2016-01-04,9.8,
2016-01-05,9.420833333333333,
2016-01-06,8.612499999999999,
2016-01-07,8.200000000000001,
2016-01-08,8.158333333333333,
2016-01-09,8.012500000000001,
2016-01-10,7.816666666666666,
2016-01-11,7.566666666666666,
2016-01-12,7.4125000000000005,
2016-01-13,7.058333333333334,
2016-01-14,7.370833333333334,
2016-01-15,7.766666666666667,
2016-01-16,8.258333333333333,
2016-01-17,8.316666666666666,
2016-01-18,7.458333333333333,
2016-01-19,5.716666666666666,
2016-01-20,5.154166666666667,
2016-01-21,4.570833333333334,
2016-01-22,4.769565217391304,
2016-01-23,4.7375,
2016-01-24,4.679166666666666,
2016-01-25,4.7124999999999995,
2016-01-26,4.7625,
2016-01-27,4.866666666666666,
2016-01-28,4.7,
2016-01-29,4.391666666666667,
2016-01-30,4.320833333333334,
2016-01-31,4.095833333333333,
2016-02-01,3.6791666666666667,
2016-02-02,3.15,
2016-02-03,3.71304347826087,
2016-02-04,3.9375,
2016-02-05,4.4375,
2016-02-06,4.433333333333334,
2016-02-07,4.408333333333333,
2016-02-08,4.270833333333333,
2016-02-09,4.1875,
2016-02-10,4.191304347826088,
2016-02-11,4.1125,
2016-02-12,4.295833333333333,
2016-02-13,4.457894736842105,
2016-02-14,,
2016-02-15,,
2016-02-16,,
2016-02-17,,
2016-02-18,,
2016-02-19,,
2016-02-20,,
2016-02-21,,
2016-02-22,3.6,
2016-02-23,3.3208333333333333,
2016-02-24,3.204166666666667,
2016-02-25,3.2083333333333335,
2016-02-26,3.4125,
2016-02-27,3.858333333333333,
2016-02-28,3.4625,
2016-02-29,3.0083333333333333,
2016-03-01,3.0541666666666667,
2016-03-02,3.220833333333333,
2016-03-03,3.341666666666667,
2016-03-04,3.8166666666666664,
2016-03-05,3.720833333333333,
2016-03-06,3.9375,
2016-03-07,3.966666666666667,
2016-03-08,3.7086956521739127,
2016-03-09,3.625,
2016-03-10,3.5666666666666664,
2016-03-11,3.7083333333333335,
2016-03-12,3.8083333333333336,
2016-03-13,3.9916666666666667,
2016-03-14,4.0125,
2016-03-15,4.283333333333333,
2016-03-16,5.445833333333333,
2016-03-17,4.941666666666666,
2016-03-18,5.3875,
2016-03-19,4.654166666666667,
2016-03-20,4.808333333333334,
2016-03-21,5.7625,
2016-03-22,5.058333333333334,
2016-03-23,4.554166666666666,
2016-03-24,4.770833333333333,
2016-03-25,5.320833333333334,
2016-03-26,5.55,
2016-03-27,5.579166666666667,
2016-03-28,5.354166666666667,
2016-03-29,5.195833333333334,
2016-03-30,5.716666666666666,
2016-03-31,7.317391304347827,
2016-04-01,7.383333333333333,
2016-04-02,7.1625000000000005,
2016-04-03,6.616666666666667,
2016-04-04,6.695833333333333,
2016-04-05,6.8,
2016-04-06,7.020833333333333,
2016-04-07,6.8875,
2016-04-08,6.541666666666667,
2016-04-09,6.416666666666667,
2016-04-10,6.6125,
2016-04-11,7.2625,
2016-04-12,7.604166666666667,
2016-04-13,8.566666666666666,
2016-04-14,7.916666666666667,
2016-04-15,7.858333333333333,
2016-04-16,7.516666666666667,
2016-04-17,7.520833333333333,
2016-04-18,7.391666666666667,
2016-04-19,8.595652173913043,
2016-04-20,7.675,
2016-04-21,8.225,
2016-04-22,7.804166666666667,
2016-04-23,8.5,
2016-04-24,9.720833333333333,
2016-04-25,10.245833333333334,
2016-04-26,10.433333333333334,
2016-04-27,8.8375,
2016-04-28,9.370833333333334,
2016-04-29,10.429166666666667,
2016-04-30,8.983333333333333,
2016-05-01,8.733333333333333,
2016-05-02,9.054166666666665,
2016-05-03,8.895833333333334,
2016-05-04,9.320833333333333,
2016-05-05,9.616666666666667,
2016-05-06,9.745833333333334,
2016-05-07,10.379166666666666,
2016-05-08,11.945833333333333,
2016-05-09,11.120833333333332,
2016-05-10,10.85,
2016-05-11,12.5625,
2016-05-12,10.995833333333332,
2016-05-13,11.549999999999999,
2016-05-14,12.725,
2016-05-15,11.591666666666667,
2016-05-16,12.070833333333333,
2016-05-17,13.341666666666667,
2016-05-18,15.229166666666666,
2016-05-19,15.052173913043477,
2016-05-20,15.633333333333333,
2016-05-21,15.204166666666666,
2016-05-22,16.537499999999998,
2016-05-23,15.520833333333334,
2016-05-24,14.254166666666668,
2016-05-25,14.1625,
2016-05-26,14.291666666666666,
2016-05-27,14.483333333333334,
2016-05-28,15.987499999999999,
2016-05-29,15.487499999999999,
2016-05-30,16.333333333333332,
2016-05-31,16.4875,
2016-06-01,16.945833333333333,
2016-06-02,17.6125,
2016-06-03,18.3125,
2016-06-04,17.224999999999998,
2016-06-05,16.879166666666666,
2016-06-06,16.791666666666668,
2016-06-07,17.020833333333332,
2016-06-08,17.55,
2016-06-09,17.416666666666668,
2016-06-10,19.212500000000002,
2016-06-11,19.370833333333334,
2016-06-12,18.891666666666666,
2016-06-13,18.320833333333333,
2016-06-14,19.787499999999998,
2016-06-15,18.504166666666666,
2016-06-16,18.595833333333335,
2016-06-17,19.495833333333334,
2016-06-18,19.995833333333334,
2016-06-19,20.891666666666666,
2016-06-20,21.004166666666666,
2016-06-21,21.729166666666668,
2016-06-22,21.1375,
2016-06-23,21.745833333333334,
2016-06-24,20.354166666666668,
2016-06-25,20.083333333333332,
2016-06-26,22.034782608695654,
2016-06-27,21.916666666666668,
2016-06-28,22.2375,
2016-06-29,21.425,
2016-06-30,21.883333333333336,
2016-07-01,22.150000000000002,
2016-07-02,23.179166666666664,
