season,n_days,bias,mae,rmse,correlation
1,265,-0.1861982172409273,0.6852872800131617,0.8877584322904839,0.9628368412599435
2,273,0.04900234065254467,0.5072377314968882,0.6716048349142079,0.9820018180283867
3,307,0.09040683251737087,0.7903362061915442,0.970483440243075,0.9666595850031029
4,271,-0.9791162674143123,1.2946068027939535,1.574531027792773,0.981623520965903
