season,n_days,bias,mae,rmse,correlation
1,238,-0.4873607791642089,0.6380157577601289,0.7836105000723131,0.9650479247177587
2,183,-0.16877790966745396,0.48752560001885964,0.6043875813614377,0.9898398739002549
3,276,-0.556828837068665,0.6672455533320047,0.7910757340074033,0.9867662081729305
4,238,-0.6892438865348942,0.7448085439011367,0.882195545424249,0.9930229845213616
