date,obs_sst,copernicus_sst
2009-12-31,8.966666666666667,
2010-01-01,8.9375,
2010-01-02,8.870833333333334,
2010-01-03,8.745833333333334,
2010-01-04,8.645833333333334,
2010-01-05,8.454166666666667,
2010-01-06,8.299999999999999,
2010-01-07,8.2125,
2010-01-08,8.1875,
2010-01-09,8.2125,
2010-01-10,8.241666666666667,
2010-01-11,8.129166666666666,
2010-01-12,7.933333333333334,
2010-01-13,7.75,
2010-01-14,7.704166666666667,
2010-01-15,7.658333333333334,
2010-01-16,7.620833333333334,
2010-01-17,7.616666666666666,
2010-01-18,7.604166666666667,
2010-01-19,7.633333333333333,
2010-01-20,7.683333333333334,
2010-01-21,7.454166666666667,
2010-01-22,7.270833333333333,
2010-01-23,7.183333333333334,
2010-01-24,7.133333333333333,
2010-01-25,6.904166666666666,
2010-01-26,6.758333333333333,
2010-01-27,6.666666666666667,
2010-01-28,6.529166666666666,
2010-01-29,6.4125000000000005,
2010-01-30,6.416666666666667,
2010-01-31,6.504166666666666,
2010-02-01,6.454166666666667,
2010-02-02,6.266666666666667,
2010-02-03,6.133333333333333,
2010-02-04,6.166666666666667,
2010-02-05,5.979166666666667,
2010-02-06,5.8999999999999995,
2010-02-07,5.7875000000000005,
2010-02-08,5.733333333333333,
2010-02-09,5.770833333333333,
2010-02-10,5.783333333333334,
2010-02-11,5.8999999999999995,
2010-02-12,5.9750000000000005,
2010-02-13,5.875,
2010-02-14,5.766666666666667,
2010-02-15,5.608333333333333,
2010-02-16,5.445833333333333,
2010-02-17,5.391666666666667,
2010-02-18,5.166666666666667,
2010-02-19,5.195833333333334,
2010-02-20,5.2875000000000005,
2010-02-21,5.2625,
2010-02-22,5.3,
2010-02-23,5.3999999999999995,
2010-02-24,5.370833333333334,
2010-02-25,5.420833333333333,
2010-02-26,5.575,
2010-02-27,5.645833333333333,
2010-02-28,5.6499999999999995,
2010-03-01,5.758333333333333,
2010-03-02,5.8999999999999995,
2010-03-03,5.879166666666666,
2010-03-04,5.8625,
2010-03-05,5.808333333333334,
2010-03-06,5.766666666666667,
2010-03-07,6.045833333333333,
2010-03-08,5.9375,
2010-03-09,5.858333333333333,
2010-03-10,5.718181818181818,
2010-03-11,5.841666666666666,
2010-03-12,5.695833333333333,
2010-03-13,5.683333333333334,
2010-03-14,5.720833333333334,
2010-03-15,5.7375,
2010-03-16,5.716666666666666,
2010-03-17,5.704166666666667,
2010-03-18,5.6499999999999995,
2010-03-19,5.741666666666667,
2010-03-20,5.791304347826086,
2010-03-21,5.817391304347827,
2010-03-22,5.733333333333333,
2010-03-23,5.691666666666666,
2010-03-24,5.879166666666666,
2010-03-25,5.645833333333333,
2010-03-26,5.629166666666666,
2010-03-27,5.575,
2010-03-28,5.616666666666667,
2010-03-29,5.9375,
2010-03-30,5.825,
2010-03-31,5.858333333333333,
2010-04-01,5.820833333333333,
2010-04-02,6.016666666666667,
2010-04-03,6.4875,
2010-04-04,6.4125000000000005,
2010-04-05,7.083333333333333,
2010-04-06,6.1625000000000005,
2010-04-07,6.1125,
2010-04-08,6.591666666666666,
2010-04-09,7.308333333333334,
2010-04-10,7.1125,
2010-04-11,6.870833333333334,
2010-04-12,6.991666666666667,
2010-04-13,5.856521739130434,
2010-04-14,5.8,
2010-04-15,5.941666666666666,
2010-04-16,6.266666666666667,
2010-04-17,6.666666666666667,
2010-04-18,6.1375,
2010-04-19,6.104166666666667,
2010-04-20,6.595833333333334,
2010-04-21,6.658333333333334,
2010-04-22,6.7875000000000005,
2010-04-23,7.075,
2010-04-24,7.8125,
2010-04-25,8.475,
2010-04-26,8.141666666666667,
2010-04-27,6.854545454545455,
2010-04-28,6.6000000000000005,
2010-04-29,6.891666666666667,
2010-04-30,7.754166666666666,
2010-05-01,7.616666666666667,
2010-05-02,7.591666666666666,
2010-05-03,7.4750000000000005,
2010-05-04,7.8125,
2010-05-05,8.025,
2010-05-06,7.991666666666667,
2010-05-07,8.6875,
2010-05-08,9.799999999999999,
2010-05-09,10.137500000000001,
2010-05-10,9.741666666666667,
2010-05-11,9.7,
2010-05-12,10.270833333333334,
2010-05-13,10.779166666666667,
2010-05-14,11.295833333333334,
2010-05-15,11.295833333333334,
2010-05-16,11.695833333333333,
2010-05-17,12.154166666666667,
2010-05-18,11.625,
2010-05-19,11.958333333333334,
2010-05-20,12.270833333333334,
2010-05-21,13.133333333333333,
2010-05-22,12.604166666666666,
2010-05-23,12.495833333333332,
2010-05-24,11.941666666666668,
2010-05-25,12.270833333333334,
2010-05-26,12.950000000000001,
2010-05-27,13.487499999999999,
2010-05-28,13.829166666666666,
2010-05-29,14.541666666666666,
2010-05-30,15.141666666666666,
2010-05-31,14.875,
2010-06-01,15.5375,
2010-06-02,15.262500000000001,
