epoch,train_loss,val_loss,train_rmse,val_rmse,loss_gap
1,0.021802009347350302,0.21234563095133263,8.522188285661702,10.82902930420759,0.19054362160398233
2,0.033971639118775813,0.049541955304358475,4.088111780329251,5.230635579805344,0.015570316185582661
3,0.006451518318065756,0.020697001444827237,2.7080863448764245,3.3808163574584893,0.014245483126761481
4,0.004344567328158263,0.006362738049068704,1.6302102995871812,1.874519222927152,0.0020181707209104404
5,0.004242985406685796,0.00645118646410335,1.9659286143245063,1.8875033877512863,0.002208201057417554
6,0.004288591574813676,0.0038191889168146887,1.4212965574665821,1.452290449144226,0.0004694026579989876
7,0.003878220240473849,0.003002536097369148,1.0562501422046815,1.2876919482948195,0.0008756841431047011
8,0.0029141042432895927,0.002775659346505193,0.8349198894561006,1.2380863361204546,0.00013844489678439993
9,0.0019279596064714361,0.0022424489512430363,0.7381367617710903,1.11283067653587,0.0003144893447716002
10,0.001338287960133173,0.0014679826464201668,0.735997538132282,0.9003852628933,0.0001296946862869939
11,0.001121986698672574,0.002457624897597451,1.1219723013758525,1.1649994631590037,0.001335638198924877
12,0.001214143654599696,0.00280224781635919,1.2016055433007036,1.2440024498305162,0.0015881041617594942
13,0.0011804642300329337,0.0019821638431148304,0.9403304288301593,1.0462554692680304,0.0008016996130818968
14,0.0010817105735251686,0.0023708830764148396,0.7962424441687234,1.1442555170274167,0.001289172502889671
15,0.0011821402091839025,0.009991315033901478,1.6647174960972009,2.3489794564548503,0.008809174824717575
16,0.001720663301301028,0.021292849162830946,2.459317306753118,3.4291366099959695,0.01957218586152992
17,0.0031631621095571496,0.02338124789779789,2.5712610598907206,3.593368510025145,0.02021808578824074
18,0.0031902317449640965,0.00827908305608054,1.4178633217198227,2.1382523355978584,0.005088851311116444
19,0.0017773851070139745,0.0022525850190699527,1.0038762069540994,1.1153431854344948,0.0004751999120559782
20,0.001443534787926358,0.003327625068857783,1.3140402339541188,1.3556113923842132,0.001884090280931425
