station_name,month,month_label,n_days,bias,mae,rmse,correlation
부안,1,Jan,83,-0.6558691357336012,0.7013748134485477,0.9362452292783257,0.8039292626069842
부안,2,Feb,85,-0.3719134171825966,0.5392822013203973,0.6903304174135709,0.7864227126314077
부안,3,Mar,74,0.1114449966143331,0.4805389603061132,0.5701202180194135,0.8809965940896715
부안,4,Apr,88,0.2140267609193683,0.3994054256725021,0.4846618832059499,0.9665351073302
부안,5,May,93,-0.2137575484464466,0.4426930988525829,0.5435753132131097,0.9786980742336172
부안,6,Jun,120,-0.4726787574365609,0.5294476756812959,0.7214982016959224,0.9551241684639572
부안,7,Jul,83,-0.5439175550362049,0.8168686264488514,1.0390536381130562,0.8975800872739718
부안,8,Aug,119,-0.0700219775195946,0.513338004607751,0.6409786995660484,0.9111371508783191
부안,9,Sep,109,0.1017527604009447,0.4757025100821433,0.6074210141975263,0.9729364803657036
부안,10,Oct,124,-0.2883227174682756,0.4225090083133568,0.5519479071951287,0.9872792128329924
부안,11,Nov,120,-0.6942554316382178,0.7272781998707752,0.8432902881353319,0.9746224271768356
부안,12,Dec,116,-1.2489925734751703,1.2489925734751703,1.3876248472149968,0.8510928320055817
서해170,1,Jan,93,1.7477145212098262,1.7477145212098262,2.038540483293508,0.4245851880198749
서해170,2,Feb,85,1.33825764404083,1.3811208121962757,1.5611366023132551,-0.2635953461559929
서해170,3,Mar,93,0.8340299162472272,0.9882863199070612,1.213950654904382,-0.1742612042552274
서해170,4,Apr,84,0.3235455344990106,0.6277554520400511,0.7899411055070764,0.8290675617442301
서해170,5,May,64,-0.1609691480795543,0.2716333568096163,0.3756636204256917,0.9836768733842975
서해170,6,Jun,120,-0.2497746620421144,0.3398848394620925,0.4736968186265664,0.9723918354510876
서해170,7,Jul,121,-0.3644162421289377,0.4584068938297168,0.5597298683258365,0.9691275636462782
서해170,8,Aug,124,-0.4086286627728004,0.4272640946982562,0.5102582051176222,0.9680376772123293
서해170,9,Sep,120,-0.3813931344442319,0.4086625705479421,0.4820366178260383,0.9914752690620732
서해170,10,Oct,124,0.018082706367596,0.3494309623757497,0.4296441282340566,0.9870576960437892
서해170,11,Nov,120,0.6201946919164375,0.6553567402562812,0.8064586993210906,0.9406284136694556
서해170,12,Dec,124,1.6344208922234826,1.6344208922234826,1.8099344837351343,0.7713237322253712
서해190,1,Jan,93,1.447636157647899,1.4487193470892112,1.5529500995582397,0.6600197119127457
서해190,2,Feb,85,1.446613955778234,1.446613955778234,1.5156810022900036,0.8626137351719286
서해190,3,Mar,93,0.948276370266841,0.9511783854880028,1.0152915902939117,0.915664734855372
