station_name,station_id,station_lat,station_lon,grid_lat,grid_lon,distance_km,search_rank,daily_basis,matched_days,bias,mae,rmse,correlation,output_csv,output_plot,monthly_csv,seasonal_csv
부안,22186,35.6586,125.8139,35.66667175292969,125.83334350585938,1.972103238105774,1,utc,1214,-0.364004881144034,0.6134690017350423,0.7980206891524239,0.9954109158656079,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/부안/부안_copernicus_vs_obs_daily.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/부안/부안_copernicus_vs_obs_daily.png,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/부안/부안_monthly_performance.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/부안/부안_seasonal_performance.csv
서해170,22191,36.1333,124.0569,36.16667175292969,124.08334350585938,4.404878616333008,1,utc,1272,0.377012017329621,0.7585483097216792,1.0581662986181448,0.9942693565020434,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해170/서해170_copernicus_vs_obs_daily.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해170/서해170_copernicus_vs_obs_daily.png,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해170/서해170_monthly_performance.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해170/서해170_seasonal_performance.csv
서해190,22299,35.0,124.13,35.0,124.16668701171875,3.3420908451080322,1,utc,1253,0.5046609892217805,0.7364018150637451,0.952059107952139,0.9960681217965912,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해190/서해190_copernicus_vs_obs_daily.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해190/서해190_copernicus_vs_obs_daily.png,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해190/서해190_monthly_performance.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/서해190/서해190_seasonal_performance.csv
외연도,22108,36.25,125.75,36.25,125.75,0.0,1,utc,935,-0.4969016330871467,0.6443734131748298,0.781428068506518,0.9970213211448613,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/외연도/외연도_copernicus_vs_obs_daily.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/외연도/외연도_copernicus_vs_obs_daily.png,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/외연도/외연도_monthly_performance.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/외연도/외연도_seasonal_performance.csv
인천,22185,37.0917,125.4289,37.083335876464844,125.41668701171875,1.427947998046875,1,utc,1116,-0.24511693499744344,0.8185920150180143,1.0763760732645995,0.991216445245535,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/인천/인천_copernicus_vs_obs_daily.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/인천/인천_copernicus_vs_obs_daily.png,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/인천/인천_monthly_performance.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/인천/인천_seasonal_performance.csv
칠발도,22102,34.7933,125.7769,34.833335876464844,125.75,5.084025859832764,1,utc,1298,0.7901490092240674,1.3081443170584615,1.8967704626066235,0.9806110054819815,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/칠발도/칠발도_copernicus_vs_obs_daily.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/칠발도/칠발도_copernicus_vs_obs_daily.png,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/칠발도/칠발도_monthly_performance.csv,/Users/jwkim/Documents/GitHub/AI_SSTP/02.down_numerical_models/s02_compare_results/칠발도/칠발도_seasonal_performance.csv
