station_name,season,n_days,bias,mae,rmse,correlation
부안,1,284,-0.8131440748222866,0.8765360392661373,1.0887058768486442,0.9651316778597138
부안,2,255,0.0282424811954726,0.4387373282945991,0.5321166919713437,0.9884980750253992
부안,3,322,-0.3422336126870313,0.5975808684016539,0.7900158079382886,0.9804266594874432
부안,4,353,-0.3058686058893749,0.5425384549980252,0.6802129680101437,0.9941769416090958
서해170,1,302,1.5859521220254842,1.5980162587579774,1.819540484365257,0.892096643226179
서해170,2,241,0.3918696333270437,0.6723096288735951,0.9075532554959264,0.96677527642441
서해170,3,365,-0.3417459696615957,0.4088607195381661,0.5158334332214546,0.9933663394363484
서해170,4,364,0.0848858310061719,0.4698125182173071,0.594890925673054,0.9953241638956702
서해190,1,296,1.3959791556190138,1.3963194820313178,1.516416093980861,0.933800653534114
서해190,2,273,0.593281431612208,0.685426439890334,0.7898409675454211,0.9896192502564216
서해190,3,368,-0.2390749728863349,0.3644143505331891,0.4804963022950012,0.9924507933787658
서해190,4,316,0.4593169260243716,0.5954905332510371,0.7951779850497132,0.9928745576422884
외연도,1,238,-0.4873607791642089,0.6380157577601289,0.7836105000723131,0.9650479247177588
외연도,2,183,-0.1687779096674539,0.4875256000188596,0.6043875813614377,0.9898398739002549
외연도,3,276,-0.556828837068665,0.6672455533320047,0.7910757340074033,0.9867662081729304
외연도,4,238,-0.6892438865348942,0.7448085439011367,0.882195545424249,0.9930229845213616
인천,1,265,-0.1861982172409273,0.6852872800131617,0.8877584322904839,0.9628368412599436
인천,2,273,0.0490023406525446,0.5072377314968882,0.6716048349142079,0.9820018180283868
인천,3,307,0.0904068325173708,0.7903362061915442,0.970483440243075,0.9666595850031028
인천,4,271,-0.9791162674143123,1.2946068027939537,1.574531027792773,0.981623520965903
칠발도,1,295,-0.2907862255169668,0.5397544305473925,0.6522707446648475,0.9738016764107827
칠발도,2,273,0.0298100282255605,0.5351524014087408,0.7060559947649391,0.9803382947340592
칠발도,3,368,2.445236393505212,2.525968179767801,3.009826722464605,0.8852708957266023
칠발도,4,362,0.5619066850410187,1.279256549147143,1.7228772379430228,0.962662732289399
