month,month_label,n_days,bias,mae,rmse,correlation
1,Jan,91,-0.34543893471703135,0.5663243862985974,0.6870395215331585,0.843173278426129
2,Feb,85,-0.2858935258046232,0.49347475270369406,0.6257165968840857,0.9161158090992371
3,Mar,92,-0.10785054789366856,0.38866385553988214,0.46873642986167297,0.9138375777962178
4,Apr,88,-0.08256706632969503,0.44804706010125783,0.5421437371991762,0.9459604805685706
5,May,93,0.272325698374287,0.762488060064585,0.9838261656620995,0.8849459985159562
6,Jun,120,2.171992176764638,2.2738655703532333,2.4561870309387204,0.7553068335067714
7,Jul,124,2.4942237386398785,2.548267486407573,3.146738352765488,0.4614750395200797
8,Aug,124,2.660678935538843,2.7476391403034146,3.33837299912473,0.5658137126830388
9,Sep,120,2.2504567085037093,2.317290785279154,2.671189893389643,0.8107419736954602
10,Oct,124,0.07659202371495479,0.8751063754667006,1.1092256219409025,0.9337837842583436
11,Nov,118,-0.6452711523411077,0.6483286949143768,0.7463402603080518,0.9758006983283259
12,Dec,119,-0.2524877628139697,0.5524931418360874,0.643496383913567,0.9623159499944083
