지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22191,2023-01-01 00:00,7.3,316,9.7,1031.7,52,6.8,9.8,1.5,.7,.4,5.5,86
22191,2023-01-01 01:00,6.8,311,8.4,1031.5,55,6.6,9.8,1.6,.7,.4,5.6,37
22191,2023-01-01 02:00,6.7,303,8.4,1031.3,58,6.6,9.8,1.6,.7,.4,5.9,31
22191,2023-01-01 03:00,6.6,290,8.5,1031.4,52,6.4,9.8,1.5,.7,.5,5.6,147
22191,2023-01-01 04:00,6.3,298,8,1031.3,54,6.3,9.9,1.7,.8,.5,6,359
22191,2023-01-01 05:00,6.6,290,8.7,1031.1,53,6.1,10,1.7,.7,.5,5.6,96
22191,2023-01-01 06:00,6.4,307,7.9,1031.5,56,6,9.9,1.7,.8,.5,5.7,351
22191,2023-01-01 07:00,6.2,309,9.4,1032.1,58,5.7,9.8,1.6,.8,.5,5.8,319
22191,2023-01-01 08:00,6.3,319,8.4,1032.5,63,5.7,9.8,1.6,.7,.5,5.6,108
22191,2023-01-01 09:00,5.4,322,7.7,1033,62,5.5,9.8,1.7,.7,.5,5.8,333
22191,2023-01-01 10:00,5.7,336,8,1033,59,5.8,9.8,1.7,.7,.5,5.9,242
22191,2023-01-01 11:00,7.8,12,10.3,1033.1,62,6,9.8,1.6,.7,.5,5.9,306
22191,2023-01-01 12:00,8.9,23,11.3,1033.3,69,5.2,9.8,1.6,.8,.5,5.9,278
22191,2023-01-01 13:00,7.4,26,8.8,1033.2,65,4.7,9.8,1.8,.8,.5,6,143
22191,2023-01-01 14:00,8.7,37,11.1,1032,61,4.4,9.8,1.9,.9,.6,6,197
22191,2023-01-01 15:00,8.1,43,10,1032.4,57,4.3,9.8,2,.9,.6,5.7,114
22191,2023-01-01 16:00,6.8,36,8.6,1032.9,59,4.3,9.8,1.9,1,.6,5.9,350
22191,2023-01-01 17:00,7.4,30,9.3,1033.3,64,4.1,9.8,2.1,1,.6,6,346
22191,2023-01-01 18:00,7.3,5,10.1,1033.5,63,4,9.8,2.3,1.2,.7,5.9,351
22191,2023-01-01 19:00,7.9,33,10.2,1033.8,62,3.9,9.8,2.2,1.1,.7,6.1,355
22191,2023-01-01 20:00,7,348,8.9,1034.7,60,4,9.8,2.2,1.3,.8,5.8,359
22191,2023-01-01 21:00,8,348,10.8,1035,60,3.8,9.7,2.3,1.3,.8,6.2,2
22191,2023-01-01 22:00,8.9,355,11.5,1035.2,61,3.8,9.7,2.4,1.2,.8,6.1,15
22191,2023-01-01 23:00,8.4,14,10.3,1035,61,3.6,9.7,2,1.1,.7,5.9,25
22191,2023-01-02 00:00,9.4,11,11.6,1035.2,60,3.8,9.7,2.2,1.1,.7,6.5,25
22191,2023-01-02 01:00,9.8,4,12.6,1035.1,58,3.9,9.8,2.1,1.3,.8,6.1,16
22191,2023-01-02 02:00,9.8,0,11.7,1034.9,60,3.9,9.7,1.9,1.2,.8,6.1,7
22191,2023-01-02 03:00,8.4,353,11.6,1035,61,3.8,9.7,2.3,1.2,.8,5.8,333
22191,2023-01-02 04:00,10.1,341,13.4,1035,57,3.5,9.7,2.3,1.5,1,6,351
22191,2023-01-02 05:00,11.1,335,13.9,1034.5,54,3.1,9.7,2.4,1.5,1,6.1,347
22191,2023-01-02 06:00,10.7,348,14.6,1034.5,57,2.9,9.7,2.7,1.6,1,5.7,356
22191,2023-01-02 07:00,9,355,11.6,1035.3,57,2.8,9.8,3.3,1.9,1.1,6.2,352
22191,2023-01-02 08:00,9.8,349,11.8,1035.8,58,2.6,9.8,3.4,1.7,1,6.1,340
22191,2023-01-02 09:00,8.4,1,11,1035.7,59,2.5,9.8,2.3,1.5,.9,6.3,351
22191,2023-01-02 10:00,8.3,5,10.9,1035.7,58,2.5,9.8,2.6,1.7,1.1,6.6,351
22191,2023-01-02 11:00,7.6,13,9.8,1035.9,56,2.6,9.8,2.4,1.5,.9,6.4,31
22191,2023-01-02 12:00,9.3,11,12.9,1035.3,59,2.7,9.8,2.4,1.5,.9,6.5,11
22191,2023-01-02 13:00,9.1,5,11.1,1034.1,57,2.7,9.8,3.2,1.6,1,6.3,21
22191,2023-01-02 14:00,8.3,2,11,1034,56,2.7,9.8,2.5,1.5,.9,6.3,18
22191,2023-01-02 15:00,9.2,1,12.1,1033.1,58,2.7,9.7,2.5,1.4,.8,6.2,10
22191,2023-01-02 16:00,9.5,355,12.5,1033.3,58,2.9,9.7,2,1.5,.9,6.1,4
22191,2023-01-02 17:00,9.9,348,11.8,1033.5,60,3,9.7,,1.4,.9,5.9,359
22191,2023-01-02 18:00,9.4,336,12.6,1034,61,2.9,9.7,2.9,1.7,1,6.3,348
22191,2023-01-02 19:00,8.9,323,11.2,1034.2,61,3,9.8,3.1,1.5,1,6.3,354
22191,2023-01-02 20:00,9.1,315,11.7,1034.4,60,3,9.8,2.4,1.4,.9,6.2,345
22191,2023-01-02 21:00,8.9,315,11,1034.5,61,3.1,9.8,2.2,1.4,.9,6,350
22191,2023-01-02 22:00,9.3,307,11.7,1033.8,64,3.1,9.9,2.2,1.4,.9,6.3,355
22191,2023-01-02 23:00,9.3,317,11.2,1033.6,62,3.2,9.9,2.2,1.3,.8,6,354
22191,2023-01-03 00:00,8.9,331,11.2,1033.4,63,3.3,9.9,2.5,1.4,.9,6.2,14
22191,2023-01-03 01:00,8.4,322,10.8,1033.3,63,3.3,9.9,1.8,1.3,.8,5.9,8
22191,2023-01-03 02:00,9,321,10.9,1033.1,63,3.3,9.8,2.1,1.2,.7,5.7,13
22191,2023-01-03 03:00,8.9,307,11.6,1033.5,59,3.3,9.9,2,1.1,.7,6,8
22191,2023-01-03 04:00,8.1,313,10.4,1033.1,60,3.2,9.9,2.2,1.1,.7,6,358
22191,2023-01-03 05:00,8,303,10.9,1032.5,59,3,9.9,2.2,1.2,.8,6,348
22191,2023-01-03 06:00,7.5,295,10.2,1032.3,59,3,9.9,2,.9,.6,6,356
22191,2023-01-03 07:00,7.8,296,9.5,1032.4,59,2.9,9.7,2.1,.9,.6,6.1,149
22191,2023-01-03 08:00,6.9,287,8.6,1032.5,60,2.8,9.6,1.9,.9,.6,5.8,287
22191,2023-01-03 09:00,6.4,287,9.2,1032.4,63,2.9,9.6,1.8,.8,.5,6,348
22191,2023-01-03 10:00,6.5,305,8.7,1032.8,60,3.2,9.6,1.9,.8,.5,6.1,2
22191,2023-01-03 11:00,6.4,316,8.7,1032.8,62,3.4,9.6,1.7,.7,.4,5.8,309
22191,2023-01-03 12:00,6.4,333,8.2,1032.3,62,3,9.6,1.6,.8,.5,5.7,240
22191,2023-01-03 13:00,5.8,344,8,1031.6,59,2.9,9.6,1.7,.8,.5,5.6,293
22191,2023-01-03 14:00,6.5,338,8.7,1031.1,59,3,9.6,1.7,.8,.5,5.7,149
22191,2023-01-03 15:00,5.5,340,7.5,1030.7,60,3.1,9.7,1.6,.8,.5,6.2,92
22191,2023-01-03 16:00,4.8,7,7.5,1030.5,61,3.3,9.8,1.6,.7,.4,6,155
22191,2023-01-03 17:00,4.2,331,6.2,1030.9,59,3.2,9.8,1.5,.7,.4,6,102
22191,2023-01-03 18:00,4.5,322,6.8,1031.4,60,3.2,9.8,1.4,.6,.4,6,63
22191,2023-01-03 19:00,4.2,326,6.1,1031.6,61,3,9.8,1.3,.6,.4,5.9,49
22191,2023-01-03 20:00,3.9,295,5.6,1031.7,61,3.1,9.8,1.3,.5,.3,5.8,349
22191,2023-01-03 21:00,4,293,5.7,1031.8,60,3.2,9.7,1.2,.5,.3,5.5,314
22191,2023-01-03 22:00,4,284,6.3,1031.8,61,3.2,9.7,1,.5,.3,5.7,347
22191,2023-01-03 23:00,4.4,281,6.4,1031.8,61,3.3,9.7,1.1,.4,.3,5.7,313
