epoch,train_loss,val_loss,train_rmse,val_rmse,loss_gap
1,0.016435850200695747,0.02105758316941442,5.2494980708375865,4.803217667707649,0.004621732968718675
2,0.004677922684528726,0.003659494325141988,2.3012513488400894,2.0023433546883753,0.0010184283593867383
3,0.0016560206597283666,0.007340772420169527,2.9712963226777305,2.8359519600827974,0.005684751760441161
4,0.0012400340554898366,0.009824749047499222,3.362574273746226,3.2808677814029403,0.008584714992009386
5,0.0011100079938453264,0.008379890693219535,3.063909712215648,3.030031726280777,0.007269882699374208
6,0.0011994183318150893,0.008025558428285885,2.893722112204054,2.9652794076844105,0.006826140096470795
7,0.001492881131629099,0.00908936031091362,3.0585859549509546,3.1556924761884613,0.007596479179284522
8,0.001370649970226922,0.0065886228417162416,2.6549174837267446,2.686738017091609,0.0052179728714893195
9,0.0011276383988692363,0.004548138066167978,2.2203859557336947,2.2322601767090227,0.003420499667298742
10,0.0010245250487721433,0.004660624370168819,2.2204860289249466,2.259696201059236,0.003636099321396675
11,0.0010490912808558779,0.005489448761688167,2.3874943997781792,2.45240598212567,0.004440357480832289
12,0.0009905217359018623,0.004910663542621618,2.2840548477535267,2.3195197295599517,0.0039201418067197555
