station_name,n_total,n_train,n_val,n_test,n_train_seq,n_val_seq,n_test_seq,seq_length,best_epoch,best_val_rmse,train_loss,val_loss,test_loss,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae
서해190,40788,28551,6118,6119,28383,5950,5951,168,98,1.242056737770954,0.0013713962821904392,0.0029938580543135427,0.003200105138766166,0.8406346699892343,1.242056737770954,1.2841270058853047,0.7111347317695618,0.9941844344139099,1.0511987209320068
서해170,47457,33219,7119,7119,33051,6951,6951,168,10,0.9003852628933,0.000980882276626781,0.0014679826464201668,0.0014794525658128493,0.735997538132282,0.9003852628933,0.9038958061755699,0.5629733800888062,0.7260875105857849,0.7418180108070374
인천,76698,53688,11505,11505,53520,11337,11337,168,20,0.8451264069038668,0.0007274649801347523,0.0007384525419521676,0.0013516843886074979,0.8388154943168443,0.8451264069038668,1.143399613287852,0.6523817777633667,0.6540168523788452,0.8456810116767883
외연도,96875,67812,14531,14532,67644,14363,14364,168,25,1.8963829822720542,0.0026731452751871903,0.003917119591558363,0.005390047581521417,1.5665848551687884,1.8963829822720542,2.2245333878799673,1.1984269618988037,1.5011917352676392,1.7242292165756226
부안,78435,54904,11765,11766,54736,11597,11598,168,6,2.6203982571766833,0.008070275449648038,0.008053207957356699,0.007225372149945648,2.6231737596126026,2.6203982571766833,2.48206389792646,2.2807979583740234,2.30313777923584,2.0568575859069824
칠발도,186881,130816,28032,28033,130648,27864,27865,168,2,2.0023433546883753,0.004833616583353418,0.003659494325141988,0.006138281787121653,2.3012513488400894,2.0023433546883753,2.5932918281796815,1.8601452112197876,1.7283467054367065,2.0611891746520996
