date,obs_sst,copernicus_sst
2015-12-21,12.144444444444444,
2015-12-22,12.112499999999999,
2015-12-23,12.054166666666667,
2015-12-24,11.933333333333332,
2015-12-25,11.787500000000001,
2015-12-26,11.720833333333333,
2015-12-27,11.549999999999999,
2015-12-28,11.358333333333334,
2015-12-29,11.25,
2015-12-30,11.195833333333333,
2015-12-31,11.104166666666666,
2016-01-01,11.070833333333333,
2016-01-02,11.004166666666668,
2016-01-03,11.0625,
2016-01-04,10.9625,
2016-01-05,10.8375,
2016-01-06,10.6875,
2016-01-07,10.541666666666666,
2016-01-08,10.420833333333333,
2016-01-09,10.329166666666667,
2016-01-10,10.254166666666666,
2016-01-11,10.158333333333333,
2016-01-12,10.0375,
2016-01-13,9.891666666666667,
2016-01-14,9.795833333333334,
2016-01-15,9.766666666666667,
2016-01-16,9.730434782608695,
2016-01-17,9.670833333333333,
2016-01-18,9.475,
2016-01-19,9.091666666666667,
2016-01-20,8.825000000000001,
2016-01-21,8.695833333333333,
2016-01-22,8.58695652173913,
2016-01-23,8.3625,
2016-01-24,7.9,
2016-01-25,,
2016-01-26,,
2016-01-27,,
2016-01-28,,
2016-01-29,,
2016-01-30,,
2016-01-31,,
2016-02-01,,
2016-02-02,,
2016-02-03,7.639130434782608,
2016-02-04,7.5874999999999995,
2016-02-05,7.554166666666667,
2016-02-06,7.4375,
2016-02-07,7.441666666666666,
2016-02-08,7.383333333333334,
2016-02-09,7.3875,
2016-02-10,7.395652173913043,
2016-02-11,7.373684210526315,
2016-02-12,,
2016-02-13,7.463157894736843,
2016-02-14,7.295833333333333,
2016-02-15,7.1875,
2016-02-16,7.066666666666666,
2016-02-17,7.058333333333334,
2016-02-18,6.991666666666667,
2016-02-19,6.958333333333333,
2016-02-20,6.875,
2016-02-21,6.879166666666666,
2016-02-22,6.868181818181818,
2016-02-23,6.858333333333333,
2016-02-24,6.7875000000000005,
2016-02-25,6.791666666666667,
2016-02-26,6.820833333333333,
2016-02-27,6.920833333333333,
2016-02-28,6.808333333333334,
2016-02-29,6.6375,
2016-03-01,6.675,
2016-03-02,6.629166666666666,
2016-03-03,6.7375,
2016-03-04,6.929166666666667,
2016-03-05,6.908333333333334,
2016-03-06,6.804166666666667,
2016-03-07,6.836363636363637,
2016-03-08,6.7124999999999995,
2016-03-09,6.566666666666666,
2016-03-10,6.4750000000000005,
2016-03-11,6.4875,
2016-03-12,6.516666666666667,
2016-03-13,6.4624999999999995,
2016-03-14,6.4875,
2016-03-15,7.070833333333333,
2016-03-16,7.090476190476191,
2016-03-17,7.316666666666666,
2016-03-18,6.929166666666667,
2016-03-19,6.695833333333333,
2016-03-20,6.816666666666666,
2016-03-21,7.129166666666666,
2016-03-22,7.091666666666666,
2016-03-23,6.629166666666666,
2016-03-24,6.604166666666667,
2016-03-25,6.7124999999999995,
2016-03-26,6.770833333333333,
2016-03-27,6.941666666666666,
2016-03-28,6.858333333333333,
2016-03-29,6.7749999999999995,
2016-03-30,7.445833333333333,
2016-03-31,8.156521739130435,
2016-04-01,8.575000000000001,
2016-04-02,8.9,
2016-04-03,7.666666666666667,
2016-04-04,7.441666666666666,
2016-04-05,8.341666666666667,
2016-04-06,7.343478260869565,
2016-04-07,7.3500000000000005,
2016-04-08,7.316666666666666,
2016-04-09,7.566666666666666,
2016-04-10,7.7749999999999995,
2016-04-11,8.0625,
2016-04-12,8.4375,
2016-04-13,8.525,
2016-04-14,8.404166666666667,
2016-04-15,8.704166666666667,
2016-04-16,8.304166666666667,
2016-04-17,8.095833333333333,
2016-04-18,8.341666666666667,
2016-04-19,9.395833333333334,
2016-04-20,8.808333333333334,
2016-04-21,8.820833333333333,
2016-04-22,8.670833333333333,
2016-04-23,8.604166666666666,
2016-04-24,9.0875,
2016-04-25,9.579166666666667,
2016-04-26,9.670833333333333,
2016-04-27,9.070833333333333,
2016-04-28,9.554166666666667,
2016-04-29,10.329166666666667,
2016-04-30,10.512500000000001,
2016-05-01,10.9125,
2016-05-02,11.616666666666667,
2016-05-03,10.895652173913044,
2016-05-04,10.908333333333333,
2016-05-05,11.320833333333333,
2016-05-06,11.254166666666668,
2016-05-07,11.429166666666667,
2016-05-08,11.595833333333333,
2016-05-09,10.908333333333333,
2016-05-10,10.366666666666667,
2016-05-11,12.020833333333334,
2016-05-12,11.6875,
2016-05-13,11.370833333333332,
2016-05-14,13.483333333333334,
2016-05-15,12.487499999999999,
2016-05-16,12.6,
2016-05-17,13.895833333333334,
2016-05-18,14.495652173913042,
2016-05-19,15.25,
2016-05-20,16.025000000000002,
2016-05-21,16.8125,
2016-05-22,17.545833333333334,
2016-05-23,18.029166666666665,
2016-05-24,16.954166666666666,
2016-05-25,17.3875,
2016-05-26,18.233333333333334,
2016-05-27,18.0625,
2016-05-28,18.287499999999998,
2016-05-29,18.104166666666668,
2016-05-30,18.870833333333334,
2016-05-31,18.741666666666667,
2016-06-01,19.158333333333335,
2016-06-02,19.783333333333335,
2016-06-03,20.0,
2016-06-04,19.195833333333333,
2016-06-05,19.195833333333333,
2016-06-06,19.8,
2016-06-07,19.9875,
2016-06-08,20.16521739130435,
2016-06-09,19.358333333333334,
2016-06-10,20.220833333333335,
2016-06-11,20.55,
2016-06-12,20.683333333333334,
2016-06-13,21.008333333333333,
2016-06-14,20.105882352941176,
2016-06-15,18.752173913043478,
2016-06-16,19.154166666666665,
2016-06-17,19.529166666666665,
2016-06-18,20.55,
2016-06-19,21.625,
2016-06-20,21.25,
2016-06-21,21.925,
2016-06-22,21.5125,
2016-06-23,21.587500000000002,
2016-06-24,20.837500000000002,
2016-06-25,21.220833333333335,
2016-06-26,22.208333333333332,
2016-06-27,21.9375,
2016-06-28,22.4875,
2016-06-29,20.804166666666667,
2016-06-30,20.95416666666667,
2016-07-01,21.608333333333334,
2016-07-02,22.25,
2016-07-03,22.066666666666666,
2016-07-04,21.537499999999998,
2016-07-05,21.25,
2016-07-06,21.53333333333333,
2016-07-07,22.05,
2016-07-08,22.1875,
2016-07-09,22.429166666666664,
2016-07-10,22.9875,
2016-07-11,23.9875,
2016-07-12,23.75,
2016-07-13,23.72083333333333,
2016-07-14,23.837500000000002,
2016-07-15,23.629166666666666,
2016-07-16,22.016666666666666,
2016-07-17,22.491666666666664,
2016-07-18,22.854166666666668,
2016-07-19,23.745833333333334,
2016-07-20,23.669565217391302,
2016-07-21,23.258333333333336,
2016-07-22,23.758333333333336,
2016-07-23,23.691666666666666,
2016-07-24,24.070833333333336,
2016-07-25,24.900000000000002,
2016-07-26,25.03333333333333,
2016-07-27,25.09583333333333,
2016-07-28,26.15833333333333,
