지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22108,2024-01-01 00:00,2.9,346,5.2,1027.2,71,5.3,10.1,4,2.2,1.4,5.9,323
22108,2024-01-01 02:00,2.7,323,4.4,1027.3,70,5.4,10,2.6,2,1.3,6,320
22108,2024-01-01 03:00,1.4,306,3.1,1027.9,69,5.5,10,2.8,1.8,1.1,5.8,319
22108,2024-01-01 04:00,2.2,13,5.3,1027.6,70,5.6,10,2.9,1.7,1.2,5.8,313
22108,2024-01-01 05:00,1.9,357,3.8,1027.6,70,5.8,10.1,2.1,1.7,1.1,5.8,310
22108,2024-01-01 06:00,2.6,7,3.7,1027.6,71,5.9,10.1,2.4,1.7,1,5.8,316
22108,2024-01-01 07:00,2,13,3.9,1028.1,72,6.1,10.1,2.4,1.6,1,6,324
22108,2024-01-01 08:00,1.9,110,4.1,1028.7,66,6.3,10.2,2.2,1.4,1,5.7,323
22108,2024-01-01 09:00,2,161,4.4,1029,65,6.3,10.3,2.5,1.4,.9,5.6,324
22108,2024-01-01 10:00,1.3,184,2.9,1029.4,65,6.5,10.3,1.9,1.4,.8,5.7,326
22108,2024-01-01 11:00,.9,15,2.3,1029.8,65,6.5,10.2,1.9,1.2,.9,5.5,323
22108,2024-01-01 12:00,2.4,321,4.2,1029.2,73,6.2,10.1,2,1.2,.8,5.6,323
22108,2024-01-01 13:00,2.4,316,3.6,1028.4,74,6.2,10,1.6,1.2,.7,5.5,319
22108,2024-01-01 15:00,1.5,287,2.9,1027.1,69,6.2,10,1.6,1,.7,4.9,322
22108,2024-01-01 16:00,2.2,313,3.5,1026.7,69,6.3,10,1.6,1,.6,4.9,319
22108,2024-01-01 17:00,2.3,300,4.1,1026.3,67,6.5,10.1,1.3,1,.6,5.1,320
22108,2024-01-01 18:00,.9,350,1.9,1026.1,66,6.6,10.1,1.4,.9,.6,5,319
22108,2024-01-01 19:00,4.2,340,5.7,1026.1,70,6.7,10.2,1.2,.9,.6,4.9,306
22108,2024-01-01 20:00,3.5,323,4.9,1026.4,70,6.7,10.3,1.2,.8,.5,4.7,313
22108,2024-01-01 21:00,2.8,310,5.2,1026.4,67,6.8,10.3,1.1,.7,.5,4.6,322
22108,2024-01-01 22:00,2.4,290,4,1026.3,65,6.9,10.4,.9,.7,.4,4.4,317
22108,2024-01-01 23:00,4.3,293,5.8,1026,68,6.9,10.4,.9,.6,.5,4.5,315
22108,2024-01-02 00:00,3.4,260,4.6,1025.9,63,7.1,10.3,.9,.7,.5,3.9,309
22108,2024-01-02 01:00,4.5,273,6.5,1025.4,67,7,10.3,1,.7,.5,3.9,317
22108,2024-01-02 02:00,3.1,286,4.2,1025.2,69,6.7,10.2,.9,.7,.5,3.8,315
22108,2024-01-02 03:00,5.4,264,6.7,1025,68,7.2,10.1,.8,.6,.4,3.6,299
22108,2024-01-02 04:00,6.5,282,8.3,1024.7,68,6.9,10,.9,.6,.5,3.4,298
22108,2024-01-02 05:00,5,292,6.3,1024,66,6.7,10,1,.7,.5,3.2,281
22108,2024-01-02 06:00,5.7,292,7.3,1023.6,64,6.6,10,1.1,.7,.5,3.4,279
22108,2024-01-02 07:00,4.6,301,6.2,1023.6,67,6.3,10.1,1.2,.7,.5,3.4,299
22108,2024-01-02 09:00,5.8,306,7.4,1024.2,68,6.1,10.2,1,.8,.5,3.6,288
22108,2024-01-02 10:00,4,315,5.6,1024.1,68,5.9,10.2,1.3,.7,.5,3.6,305
22108,2024-01-02 11:00,3.9,310,5.6,1024,67,6.1,10.1,1.1,.7,.5,3.6,300
22108,2024-01-02 12:00,3.7,309,5.7,1023.5,67,6,10,1.2,.8,.5,3.7,313
22108,2024-01-02 14:00,3.9,306,5.1,1022.6,60,6.1,10,.9,.6,.4,3.4,285
22108,2024-01-02 15:00,3.6,352,5.1,1022.1,63,6,10,.9,.6,.4,3.4,302
22108,2024-01-02 16:00,2.7,351,4.6,1021.8,63,5.9,10,.9,.6,.4,3.4,319
22108,2024-01-02 17:00,2.3,350,4,1021.8,63,5.8,10,.8,.5,.4,3.4,300
22108,2024-01-02 18:00,1.9,10,2.7,1021.4,62,5.8,10,.7,.5,.3,3.4,299
22108,2024-01-02 20:00,1.8,29,3,1021.6,66,5.7,10,.6,.4,.3,3.5,295
22108,2024-01-02 21:00,2.1,40,3.3,1021.4,66,5.7,10.1,.6,.4,.3,3.5,293
22108,2024-01-02 22:00,2,338,3.2,1021.5,65,5.8,10.2,.5,.4,.3,3.6,279
22108,2024-01-02 23:00,2.5,344,3.7,1021.5,66,5.9,10.2,.6,.4,.3,3.5,275
22108,2024-01-03 01:00,3.8,319,5.7,1021.1,63,5.9,10,.5,.4,.3,3.5,265
22108,2024-01-03 02:00,3.5,319,5,1020.8,61,5.8,10,.6,.4,.3,3.4,274
22108,2024-01-03 03:00,2.6,316,3.7,1020.6,61,5.8,10,.6,.4,.3,3.3,265
22108,2024-01-03 04:00,3.3,327,4.8,1020.1,63,5.8,10,.6,.4,.3,3.2,277
22108,2024-01-03 05:00,2.9,318,4.5,1019.5,63,5.8,10,.6,.4,.3,3.2,270
22108,2024-01-03 06:00,5.1,325,7.1,1019.1,64,5.8,10,.6,.4,.3,3.1,329
22108,2024-01-03 07:00,5.4,316,7.7,1019.3,60,6,10,.8,.4,.3,3,327
22108,2024-01-03 08:00,6.1,311,7.8,1019.5,58,6.1,10,.9,.5,.4,3,282
22108,2024-01-03 09:00,5.8,316,8.5,1020.1,58,6.1,10,.8,.5,.4,3.1,286
22108,2024-01-03 10:00,5.8,293,7.6,1020.2,61,6,10,.8,.6,.4,3.2,292
22108,2024-01-03 11:00,5.7,312,8.4,1020.1,59,6.3,10,1,.6,.4,3.2,285
22108,2024-01-03 12:00,6.7,302,8.1,1019.9,59,6.2,10,1.2,.7,.5,3.3,299
22108,2024-01-03 13:00,7.7,309,9.6,1019.6,60,6.2,10,1.1,.7,.5,3.4,299
22108,2024-01-03 14:00,9.6,304,12.5,1019.2,64,6.4,10,1.2,.8,.6,3.4,307
22108,2024-01-03 15:00,9,303,11.3,1019.4,60,6.4,10,1.7,1,.8,3.5,316
22108,2024-01-03 16:00,10.1,298,12.6,1019.9,73,5.7,9.9,2,1.2,.9,3.8,316
22108,2024-01-03 17:00,6.9,315,12.7,1020.6,80,4.4,10,2.6,1.4,1.1,4,313
22108,2024-01-03 19:00,7.9,350,10.5,1021.8,67,5.3,10,2.5,1.7,1.2,4.7,340
22108,2024-01-03 20:00,7.9,347,10.3,1022.1,70,5.4,10,2.5,1.7,1.1,4.9,331
22108,2024-01-03 21:00,8.4,349,10.8,1022.4,67,5.2,10,2.5,1.6,1.1,4.8,329
22108,2024-01-03 23:00,6.5,350,8.6,1023.3,63,5.1,10,2.4,1.5,1,4.7,324
22108,2024-01-04 00:00,4.5,342,6.6,1023.2,64,5.1,10,2.1,1.4,1,4.5,310
22108,2024-01-04 01:00,4.1,345,6.2,1023.5,63,5.1,10,2,1.3,.9,4.6,320
22108,2024-01-04 02:00,3,344,4.9,1023.2,60,5.1,9.9,1.9,1.3,.9,4.7,305
22108,2024-01-04 03:00,2.5,323,4.3,1023.2,61,5.1,9.9,1.9,1.2,.8,4.6,299
