epoch,train_loss,val_loss,train_rmse,val_rmse,loss_gap
1,0.02935754673137251,0.07405905608375135,7.784128170012844,8.463489432931766,0.04470150935237884
2,0.018182782458845505,0.02391870627606095,4.716506525742655,4.809824410324591,0.005735923817215445
3,0.005451463959604413,0.00919306614645114,2.965924012170858,2.9818827023683534,0.0037416021868467266
4,0.0030665519118210876,0.0026842413372473945,1.6556228313957462,1.611280553866909,0.00038231057457369317
5,0.002262569002644263,0.004181595291468194,2.137422937264439,2.011089219043836,0.0019190262888239308
6,0.0021493547324401637,0.003112954101356431,1.85765669468539,1.7351886799481322,0.0009635993689162672
7,0.0022193481216606684,0.0026689973111099535,1.69900020202402,1.6066986348043852,0.00044964918944928513
8,0.002203492384340603,0.00203816511645181,1.494045439038091,1.404041845431661,0.00016532726788879258
9,0.0021042338312378707,0.003374682781832623,1.8899918433926692,1.8066617397414777,0.0012704489505947522
10,0.0018251203495984923,0.003674686363122485,1.9528879861073314,1.8852567517096825,0.0018495660135239929
11,0.001493145398312194,0.0021154239023093795,1.49667506465524,1.430405233359524,0.0006222785039971855
12,0.0011839013700011521,0.0008035468389736478,0.945188277728747,0.8815886191873636,0.00038035453102750437
13,0.00104236242064934,0.000748961486586593,0.8676667478624625,0.8511186545453829,0.00029340093406274705
14,0.0011134540054077765,0.0010224220886934706,0.9730364198249339,0.9944328972668771,9.103191671430591e-05
15,0.0012638909032607316,0.0014208119883550492,1.0942855613669973,1.1722728308278563,0.00015692108509431763
16,0.0014056590173829567,0.0029831225375588264,1.5600130507338978,1.6986188860126403,0.0015774635201758697
17,0.0018068400821899119,0.0051623828632891295,2.068418392099478,2.2345263023100292,0.003355542781099218
18,0.0020758667500670137,0.006783039964057943,2.4331745992994973,2.56137153154704,0.004707173213990929
19,0.0015075358348656362,0.0026139916053711,1.5120839705386606,1.5900562341210567,0.0011064557705054638
20,0.0010776611772381182,0.0007384525419521676,0.8388154943168443,0.8451264069038668,0.0003392086352859506
21,0.0010916694407137279,0.001193103580980633,1.0646272009503979,1.0742353403370875,0.00010143414026690515
22,0.0012473309752948113,0.0018696698061821202,1.4086933102917159,1.3447539549055094,0.0006223388308873089
23,0.0008953768129165386,0.0021041122800689047,1.3769875380091348,1.4265757398210313,0.0012087354671523661
24,0.000640894374046238,0.0010972292725875963,0.9623975748827497,1.0301703957469253,0.00045633489854135826
25,0.000732402699634604,0.001461517251584384,1.149207862371947,1.1889466458598363,0.00072911455194978
26,0.0010956480199802961,0.001501761989247327,1.1911265060442506,1.2052050852862315,0.00040611396926703083
27,0.0010838759206729608,0.002266059483147555,1.3752213646688798,1.4804577990607515,0.001182183562474594
28,0.0011514769283767863,0.00541460249302558,2.187652582569153,2.2884617560743488,0.004263125564648793
29,0.0011691548519756336,0.005169305688019488,2.1533662613790883,2.236024047967915,0.004000150836043854
30,0.0008349566834622727,0.0009859397059311923,0.9248834111222662,0.9765299372012487,0.00015098302246891967
