epoch,train_loss,val_loss,train_rmse,val_rmse,loss_gap
1,0.01640642110287419,0.09749855684768921,8.056032410754378,9.46110160301011,0.08109213574481502
2,0.018191327418191006,0.02613012624875594,4.088285570162418,4.897939264247249,0.007938798830564933
3,0.005269205610194958,0.018770957980267348,3.4845564585422566,4.151316532749354,0.01350175237007239
4,0.003013108438752388,0.011162891900793889,2.719556579208881,3.2013340851310073,0.0081497834620415
5,0.0021929938106129998,0.008753322908030513,2.811437448483142,2.8348437004802123,0.0065603290974175135
6,0.001975424146926871,0.009071239063300462,2.6917888219965067,2.8858646270027535,0.0070958149163735905
7,0.0020936819497174215,0.009704646326347877,2.750276291579301,2.98491851490948,0.0076109643766304556
8,0.0020708880404986677,0.009386424817183646,2.8082936515230763,2.9355720524015942,0.007315536776684979
9,0.0018598051711718774,0.008137263558738008,2.649403083798208,2.7332655917666506,0.00627745838756613
10,0.001675768427513798,0.006953397408128887,2.3680702300998293,2.5266270748985398,0.005277628980615089
11,0.0014899499095766267,0.0076821893460892725,2.654374750944359,2.6557374347488985,0.006192239436512646
12,0.0015214538222544799,0.00558935934454948,1.8817460454861488,2.2652890712701583,0.004067905522295001
13,0.001286450998749566,0.009218696451142315,3.012512973108493,2.9092255813138985,0.00793224545239275
14,0.0015264619388642908,0.006115301956680308,1.9604874660613723,2.369471993037131,0.004588840017816017
15,0.0012144646913285848,0.007679180098334559,2.70913557250868,2.6552173177857195,0.006464715407005974
16,0.001287592035313841,0.0050681946522981676,1.789014724026897,2.1570949281151597,0.0037806026169843266
17,0.0010836791518011393,0.005212840466320601,2.0070281519110478,2.1876602114182537,0.004129161314519462
18,0.001096460310248869,0.005540554255019132,1.935229108884186,2.255377489284475,0.004444093944770263
19,0.0012318106613698502,0.00814252043241831,2.3708579434780725,2.734148201392257,0.00691070977104846
20,0.001218370817770325,0.005178573127911984,1.8337060231641351,2.180457741338152,0.003960202310141658
21,0.0008330963436802145,0.005121682022746142,2.220794058542521,2.1684477405825797,0.004288585679065927
22,0.0009678303592658234,0.004375941204317581,1.7066571766370933,2.004372228389164,0.003408110845051757
23,0.0007603360383855441,0.005946064517123728,2.227242670404892,2.33645511875847,0.005185728478738184
24,0.0008711010172960209,0.004625982556743417,1.8209140422168357,2.0608416739651223,0.003754881539447396
25,0.000771024264166344,0.003917119591558363,1.5665848551687884,1.8963829822720542,0.003146095327392019
26,0.0008090560391908523,0.00652220656844116,2.1351586038609303,2.4470334563218876,0.005713150529250307
27,0.0009766320469046148,0.007248684987555812,2.1793809900838736,2.579718172663889,0.006272052940651198
28,0.0007303678201525945,0.006401834256837069,2.4628516125292923,2.4243472371056938,0.005671466436684475
29,0.0008268655552628891,0.005107907354280216,1.7901205740443014,2.1655297108393206,0.004281041799017327
30,0.0005949871534291598,0.009461207698978374,3.10178034327265,2.947242974357958,0.008866220545549214
31,0.000843827509357193,0.0041970144401994895,1.5663679693781325,1.9629663557180572,0.0033531869308422967
32,0.0004939101383747603,0.0072943663255961326,2.689467929419811,2.5878342417206843,0.006800456187221372
33,0.0007445739632100302,0.005722697516143984,1.8831855752535105,2.2921498800673725,0.004978123552933954
34,0.0006818437397136644,0.006120229346339771,2.2370730029946584,2.3704264925840635,0.0054383856066261066
35,0.0006857377728383572,0.005605490793761867,1.8499627908624767,2.268555738471022,0.00491975302092351
